Calendar Year,County,Number of Retail Locations,Non-Ethanol Gasoline Sales (in gallons),Ethanol Gasoline Sales (in gallons),Clear and Dyed Diesel Sales (in gallons),Clear and Dyed Biodiesel Sales (in gallons)	,Pure Biodiesel Sales (in gallons),Biofuel Distribution Percentage
2016,Osceola,8,232318,2357126,2653192,19163,,10.14
2016,Other,10,583445,4360541,619185,71899,,9.45
2016,Page,7,566751,4940807,517497,73811,,9.07
2016,Palo Alto,10,439559,4022822,3051720,130239,,9.96
2016,Plymouth,18,2583928,10104033,16788142,1265514,,8.9
2016,Pocahontas,10,421328,3484561,13712337,0,,9.05
2016,Polk,189,35778729,195062462,36224573,44150831,,11.98
2016,Pottawattamie,58,8020959,52506283,12497683,35741534,,17.31
2016,Poweshiek,18,1506130,12393839,6029642,15808593,,26.11
2016,Ringgold,7,169920,1419019,371453,543110,,13.74
2016,Sac,16,598323,5146805,1274939,669327,,12.47
2016,Scott,81,5763983,73050772,10779876,58475128,,19.25
2016,Shelby,13,522926,4543151,3707386,182080,,9.87
2016,Sioux,34,3177752,12645987,15523883,1417358,,9.22
2016,Story,43,5263777,35466153,2734209,3149732,,10.4
2016,Tama,16,676197,5763753,3230102,16017,,9.05
2016,Taylor,6,211867,1803114,289082,522841,,10.47
2016,Union,10,504893,4494664,803679,755407,,10.74
2016,Van Buren,8,288246,2249833,769902,284935,,9.72
2016,Wapello,29,2063474,14381080,2316461,3354751,,11.88
2016,Warren,29,2873918,21957087,1789958,1722403,,10.17
2016,Washington,21,1479783,9769155,2585990,8155025,,17.13
2016,Wayne,9,460021,2225063,1323951,619894,,9.51
2016,Webster,34,1668432,15688045,3090555,625979,,9.95
2016,Winnebago,15,580027,4142445,2627373,370812,,10.85
2016,Winneshiek,15,1460562,7565494,2083066,528362,,9.51
2016,Woodbury,44,7563056,40652284,11009038,17283779,,13.43
2016,Worth,10,442846,4920045,1124681,468387,,10.23
2016,Wright,17,719337,4992396,1999572,82160,,9.12
2017,Adair,11,1597261,7560455,3891118,884478,,11.27
2017,Allamakee,16,1224477,5730526,1252530,1290584,,10.5
2017,Appanoose,9,416275,4152249,1768101,516483,,10.13
2017,Audubon,6,190108,2321556,1691741,743772,,11.89
2017,Benton,15,1072150,5645246,5688164,200882,,8.7
2017,Black Hawk,70,9128157,49211111,3892882,16084143,,12.92
2017,Boone,14,1197445,9011630,2097117,269320,,9.16
2017,Bremer,15,2133737,10317685,1650648,1794874,,11.39
2017,Buchanan,15,1763217,8317572,13785643,495907,,9
2017,Buena Vista,19,1001238,8268387,3036756,397274,,10.26
2017,Butler,12,814251,5320937,1215644,1370211,,10.77
2017,Calhoun,14,348096,4585895,932601,3269997,,17.68
2017,Carroll,24,1633263,8648839,11561431,669123,,10.49
2017,Cass,16,868673,7629513,4326076,1218245,,10.61
2017,Cedar,16,1465594,9155418,4122219,10345423,,24.79
2017,Cerro Gordo,26,4277734,28305089,1831527,18750110,,18.67
2017,Cherokee,12,643101,4205263,2340271,453179,,10.63
2017,Chickasaw,13,1340719,5987751,4167572,4307513,,15.3
2017,Clarke,8,1174040,6202129,2586068,7181931,,23.85
2017,Clay,18,698364,4974811,2910519,460112,,10.49
2017,Clayton,20,1301737,6672155,614854,1396826,,12.38
2017,Clinton,26,1830593,19611300,5654765,3212277,,12.55
2017,Crawford,12,852247,5084633,2097682,457913,,9.73
2017,Dallas,35,5508373,37109989,3169125,2113999,,10.41
2017,Delaware,9,1030780,5775175,1354327,932536,,10.68
2017,Des Moines,19,1334915,13858915,1755575,57563,,9.85
2017,Dickinson,21,2023647,7722396,1099543,65830,,8.34
2017,Dubuque,48,11311257,74337396,16809583,14422733,,10.13
2017,Emmet,9,353184,2995003,645043,0,,9.33
2017,Fayette,21,994336,6372528,2843635,340565,,9.21
2017,Floyd,14,889448,7783698,3126878,7873656,,21.57
2017,Franklin,11,395611,3886900,3133706,735175,,12.1
2017,Fremont,9,621548,7439288,1203249,16884463,,41.59
2017,Greene,10,273418,3826524,1173423,130742,,9.99
2017,Grundy,14,610351,6586875,5532817,2614707,,11.66
2017,Guthrie,12,598452,5266879,889577,7768626,,30.3
2017,Hamilton,17,782895,8781872,2678916,9393014,,24.19
2017,Hancock,11,442187,3185379,4100887,93014,,8.94
2017,Hardin,25,743541,7734718,6220238,282264,,9.88
2017,Harrison,18,1134050,8295052,4771353,1159901,,11.12
2017,Henry,14,949402,15244696,1761328,7938221,,16.64
2017,Howard,9,699857,3522422,2240970,1306937,,13
2017,Humboldt,13,544065,3762814,5193584,239745,,9.83
2017,Ida,12,394967,2672989,2700574,0,,12.32
2017,Iowa,138,9277052,50093059,43022172,18326107,,12.04
2017,Jackson,16,1161029,7468485,3136415,1951928,,13.41
2017,Jasper,26,1927123,16233833,4085014,14576861,,21.61
2017,Jefferson,16,864325,5450545,1641095,1300292,,12.36
2017,Johnson,51,6813180,45519191,2025147,2926132,,10.7
2017,Jones,10,997967,6917516,2595609,1049651,,9.75
2017,Keokuk,10,459328,4044062,1697542,701076,,11.98
2017,Kossuth,15,840651,6562558,10431907,592571,,10.58
2017,Lee,22,1789463,12613639,1537916,1297850,,9.29
2017,Linn,85,13475886,83850111,12996345,9523034,,11
2017,Louisa,9,574365,4528297,1298296,306963,,10.07
2017,Lucas,7,398337,2519183,221095,2152112,,13.85
2017,Lyon,10,652088,3877193,2265507,561912,,10.59
2017,Madison,12,889024,8336852,5717687,1598389,,12.76
2017,Mahaska,17,833347,10124257,2021572,1374209,,10.41
2017,Marion,25,1762490,13064191,6146605,244648,,10.43
2017,Marshall,21,2505061,12377867,2356778,1096729,,9.12
2017,Mills,9,622829,5090043,1586642,158446,,9.33
2017,Mitchell,10,618300,3429288,834664,150304,,10.92
2017,Monona,11,740799,5384517,1675491,2622342,,17.72
2017,Montgomery,8,575742,3425792,925132,758164,,11.09
2017,Muscatine,20,1906629,15196433,3864949,393386,,10.36
2017,OBrien,14,681412,5525936,2964955,188785,,9.76
2017,Osceola,7,243533,2413904,2716799,15396,,10.35
2017,Other,16,1154145,8330458,1563025,1256375,,10.2
2017,Page,7,552277,4898747,562766,72172,,9.09
2017,Palo Alto,8,350248,3625598,2100640,96047,,10.37
2017,Plymouth,18,1996077,8727139,10236326,1309916,,9.38
2017,Pocahontas,8,224814,2228442,437586,0,,9.4
2017,Polk,180,32404264,193991854,30581285,44982291,,13.16
2017,Pottawattamie,64,8802962,59289688,11530864,60519089,,21.7
2017,Poweshiek,19,1392103,12621773,1847310,21490833,,33.96
2017,Ringgold,7,171529,1574618,634889,1679226,,17.04
2017,Sac,14,595252,4824022,1621768,892477,,11.56
2017,Scott,76,5983064,74463682,8251309,46656395,,18.08
2017,Shelby,12,497451,4434840,3496473,242919,,10.32
2017,Sioux,28,2440923,9815402,12692808,1316262,,9.31
2017,Story,40,4565511,36522960,3554768,2830988,,13.14
2017,Tama,18,855503,7967743,3583213,97098,,9.9
2017,Taylor,7,257050,1925695,764808,233939,,10.66
2017,Union,11,520286,5030418,717865,736224,,10.57
2017,Van Buren,6,191950,1749393,353250,280601,,10.11
2017,Wapello,24,1843524,14539306,898914,3494778,,12.53
2017,Warren,28,2760969,20881611,2597570,1544794,,10.33
2017,Washington,17,1168078,8477363,3236526,7177276,,16.1
2017,Wayne,6,205594,1831731,321759,697438,,10.79
2017,Webster,34,1791354,17713615,3328802,1552030,,11.3
2017,Winnebago,13,465666,3662008,1999605,416033,,11.6
2017,Winneshiek,19,1439429,8596881,8330008,1260672,,11.46
2017,Woodbury,47,6427035,40439704,11363106,18974070,,15.33
2017,Worth,9,359316,4171869,720387,1073248,,13.83
2017,Wright,16,745381,4856305,2107603,167077,,9.31
2018,Adair,16,1577678,8095649,2691406,3899475,1371227,14.18
2018,Allamakee,16,1026861,5204653,2495267,1028528,683549,10.97
2018,Appanoose,13,508459,4675725,2130451,490763,526743,10.16
2018,Audubon,6,179302,2012770,2094837,337214,262556,11.98
2018,Benton,21,1682402,8398231,3751101,2040621,1115754,11.07
2018,Black Hawk,64,8380984,47373559,5950034,14337434,7465003,13.39
2018,Boone,11,1077028,8282330,3167410,546495,883494,9.44
2018,Bremer,15,2158858,9594852,1556083,1733809,1346934,11.46
2018,Buchanan,13,1416813,7560312,4177735,1643505,969983,10.81
2018,Buena Vista,26,1068712,8868390,3735178,451722,1063036,10.7
2018,Butler,14,917569,5722562,1053822,1470426,739146,11.13
2018,Calhoun,14,351885,4656692,1453065,3443652,926409,18.5
2018,Carroll,29,1537438,8631492,11231372,297070,1042567,10.25
2018,Cass,15,853632,7340243,5013563,644364,892277,10.89
2018,Cedar,16,1366610,9376042,5383370,10682734,2284580,21.27
2018,Cerro Gordo,25,4090648,27221857,3944758,16413857,5284249,16.88
2018,Cherokee,16,676449,4326269,3541826,488722,536146,10.72
2018,Chickasaw,13,1388944,6039272,5763110,3830771,1101995,14.84
2018,Clarke,9,1220210,6431950,1521992,8191873,1917562,25.06
2018,Clay,23,994757,5568870,3276629,698674,700469,10.67
2018,Clayton,22,1281085,7158813,856828,1345756,1073731,12.72
2018,Clinton,27,1846689,20905722,5575234,3237818,2840937,12.49
2018,Crawford,11,768377,4857757,2135814,340144,561641,9.98
2018,Dallas,39,6580128,37879579,6136243,4321056,4669910,10.5
2018,Decatur,6,532276,2572677,322362,290248,317889,10.24
2018,Delaware,16,1421016,5915316,5091474,708241,745360,10.16
2018,Des Moines,16,1175933,11703020,1040450,103313,1308426,10.16
2018,Dickinson,24,2280941,7908105,1787924,151637,872673,8.56
2018,Dubuque,57,11751430,73445453,7821968,22839883,9405429,11.04
2018,Emmet,8,361494,3117223,318345,88472,332853,9.57
2018,Fayette,13,866509,5059688,787162,452321,556477,9.39
2018,Floyd,13,696203,7442404,2852773,8855177,1970250,24.21
2018,Franklin,14,436844,4348548,4513298,880054,658884,13.77
2018,Fremont,6,241261,4359430,1249049,10157498,1901549,41.33
2018,Greene,11,230588,3493259,853719,1077010,486918,13.08
2018,Grundy,12,539724,5298453,4972975,2979724,725569,12.43
2018,Guthrie,12,388988,5122054,904536,7427999,1722780,31.26
2018,Hamilton,15,699185,8384126,3588102,10949044,2111938,23.25
2018,Hancock,14,932017,5022567,5270668,598382,594025,9.98
2018,Hardin,24,723338,7757629,5713557,1070766,1034351,12.2
2018,Harrison,15,957202,7452017,2940702,3480072,1139342,13.55
2018,Henry,11,855214,9068265,2085780,6027017,1899505,19.14
2018,Howard,8,739917,3413514,2156151,1224716,497434,11.98
2018,Humboldt,12,649212,4734929,3803183,554295,615022,11.42
2018,Ida,12,375874,2874104,2855894,50425,402957,12.4
2018,Iowa,128,6444665,51691026,15646300,19935628,7842124,13.49
2018,Jackson,13,1088637,6985937,3169101,1833327,977025,12.1
2018,Jasper,28,1959379,16531370,2962354,15837360,3962328,21.43
2018,Jefferson,11,746432,4287688,1071119,3209285,811711,16.12
2018,Johnson,54,7731403,45971704,2725159,3138589,5595720,10.42
2018,Jones,13,990798,8042350,2106999,1716844,1034818,11.46
2018,Keokuk,7,359942,2716269,1470939,341929,323291,10.51
2018,Kossuth,18,787186,6876657,8840346,482673,819781,10.7
2018,Lee,20,1663580,10276627,1322140,703082,1088665,9.12
2018,Linn,94,14152821,86090590,13858223,13397983,11548990,11.52
2018,Louisa,8,468160,3835693,44199,819810,515164,11.97
2018,Lucas,8,389706,2681149,639457,2410636,438880,14.29
2018,Lyon,14,758399,4459486,2901636,564628,540847,10.37
2018,Madison,11,863601,8044826,19732217,2087294,1172202,13.16
2018,Mahaska,15,708862,9340559,1459362,2188574,1149111,11.43
2018,Marion,21,1713270,13120286,5000384,1603851,1797262,12.12
2018,Marshall,22,2490273,12701161,2226148,2373206,1572638,10.35
2018,Mills,10,624194,5099491,1893064,724895,597159,10.43
2018,Mitchell,9,619259,3550147,412076,425693,484768,11.63
2018,Monona,11,920279,5192836,1576166,2818662,905224,14.81
2018,Monroe,5,349645,3306179,85329,466799,404515,11.06
2018,Montgomery,9,628268,3962431,2705684,538846,538011,11.72
2018,Muscatine,15,1575509,12754660,430340,939123,1600935,11.17
2018,OBrien,16,789270,5471812,1541373,225751,612226,9.78
2018,Osceola,8,227979,2420485,3214234,62635,296433,11.19
2018,Other,7,562548,2519137,989223,236438,288481,9.36
2018,Page,6,374977,4699375,951681,677833,555940,10.96
2018,Palo Alto,10,599581,3123112,2372180,96945,384040,10.32
2018,Plymouth,16,2493039,10452671,13910498,1964929,1335317,10.31
2018,Pocahontas,9,329485,2687541,6682556,65087,304671,10.1
2018,Polk,191,34079471,196268737,25459401,42241981,28059217,12.18
2018,Pottawattamie,57,8406046,54468006,11100747,50957955,13284293,21.13
2018,Poweshiek,21,1600909,12737139,3236216,21058988,4800251,33.48
2018,Ringgold,6,139508,1245228,425642,483123,206798,14.93
2018,Sac,15,510870,4645797,1587676,1080938,631644,12.25
2018,Scott,91,6012589,88505697,5086030,57367695,17721447,18.75
2018,Shelby,14,485963,4567431,2351336,1254734,594968,11.77
2018,Sioux,22,1965425,8620739,8010066,1000639,1013748,9.58
2018,Story,42,4717073,34832274,1112230,3592248,4213724,10.65
2018,Tama,17,789638,6753530,3312459,1371491,936155,12.41
2018,Taylor,8,203647,1774519,911797,118019,200961,10.16
2018,Union,14,551005,5230335,1304314,962373,641874,11.1
2018,Van Buren,5,149550,1149460,679061,152471,127048,9.78
2018,Wapello,24,1966433,14573697,421869,3518438,2102485,12.71
2018,Warren,29,2816295,20638248,1155881,2359609,2465148,10.51
2018,Washington,14,1674515,6558716,3801356,1787961,940757,11.43
2018,Wayne,9,445181,2009152,1097592,1293916,278996,11.37
2018,Webster,31,1680376,16242192,2716271,1670269,2012272,11.23
2018,Winnebago,16,522486,4051596,1861450,490572,533429,11.66
2018,Winneshiek,19,1236465,8840117,7530865,1483148,1242830,12.33
2018,Woodbury,52,7929896,39579123,9110235,18859807,7160159,15.07
2018,Worth,8,415913,4499214,626643,1492187,654777,13.32
2018,Wright,19,797856,5320144,2778150,500745,594705,9.72
2019,Adair,19,1514877,7373322,2887239,4369693,1435742,16.15
2019,Allamakee,14,1034342,5449497,3043798,1348849,787032,12.14
2019,Appanoose,14,609674,4878961,1699712,471242,627099,11.43
2019,Audubon,7,218790,2233214,2031189,1000991,415575,16.95
2019,Benton,20,1128172,8651617,3256430,1920041,1196079,12.23
2019,Black Hawk,70,8435653,48668188,2389641,15362828,7819858,13.69
2019,Boone,11,909637,7439454,2666198,4210644,994294,11.91
2019,Bremer,16,2047046,9257307,1351028,2126179,1386686,12.27
2019,Buchanan,17,1436454,8344069,1665498,1279091,1034218,10.57
2019,Buena Vista,26,1170763,8463945,3657702,1623560,1146731,11.9
2019,Butler,14,959353,5625105,3167816,1098663,778734,11.83
2019,Calhoun,14,345268,4697230,560285,5621262,1029911,20.42
2019,Carroll,28,1395926,9377142,12025571,676922,1168755,10.85
2019,Cass,15,850691,7053012,4690040,938766,849959,10.75
2019,Cedar,17,1495529,12035450,6420562,8376303,2562524,18.94
2019,Cerro Gordo,27,4510900,25753632,11810230,14779193,5159753,17.05
2019,Cherokee,15,632394,4522054,3723490,141467,526181,10.21
2019,Chickasaw,12,1375316,5899355,4898456,3674367,1071028,14.72
2019,Clarke,11,1313684,6927645,1495674,9237860,2095009,25.42
2019,Clay,23,988893,5733043,2666033,818397,730030,10.86
2019,Clayton,20,1235335,6863799,438963,1635414,1033151,12.76
2019,Clinton,27,1855636,21013880,4275572,3924597,2998492,13.11
2019,Crawford,11,685662,4696866,2372882,1159399,587729,10.92
2019,Dallas,38,5663862,33949381,6856383,8349685,5143083,12.98
2019,Decatur,5,462175,2536538,122024,329662,335839,11.2
2019,Delaware,20,1348578,6620870,4695797,998075,872225,10.94
2019,Des Moines,18,1447006,13638512,851663,221624,1534935,10.17
2019,Dickinson,24,1831118,8285092,1073380,347562,929660,9.19
2019,Dubuque,59,11244029,74845999,8384798,21090539,9458252,10.99
2019,Emmet,9,340927,3201126,282494,218717,366322,10.34
2019,Fayette,16,747115,5881695,131786,605944,679316,10.25
2019,Floyd,13,2032570,6339707,2818755,10510053,2084714,24.9
2019,Franklin,13,505262,5454073,4464148,1292645,860627,14.44
2019,Fremont,7,322517,4824297,1368121,8444894,1772765,34.44
2019,Greene,10,260879,3963340,388218,2363577,603951,14.3
2019,Grundy,14,510325,5203058,6115775,2020936,821789,14.38
2019,Guthrie,12,436272,4927800,943644,7596158,1603659,29.9
2019,Hamilton,15,2031489,6494904,1421414,9130096,2088425,24.49
2019,Hancock,7,444247,3838558,1020488,1562677,679320,15.86
2019,Hardin,23,1415307,11239565,5891884,2383633,1801900,14.24
2019,Harrison,14,888667,6451811,3977044,3743074,1057604,14.41
2019,Henry,8,589130,7968021,550501,5817135,1625663,19
2019,Howard,8,722237,3690990,1736352,1412386,561132,12.71
2019,Humboldt,12,737723,4618018,4896370,388171,546819,10.21
2019,Ida,11,575713,3308569,3084821,253204,451734,11.63
2019,Iowa,105,5392393,40899738,19821570,13682896,5799884,12.53
2019,Jackson,13,1044209,6966735,347398,2327083,1145409,14.3
2019,Jasper,27,2025186,16750397,2718514,16317667,4201497,22.38
2019,Jefferson,16,843500,5104688,1269128,1240398,702516,11.81
2019,Johnson,57,9947296,49047629,8595812,1511062,5558299,9.42
2019,Jones,10,734378,6420338,1843382,735953,744439,10.4
2019,Keokuk,7,337037,2847667,1475707,382469,343902,10.8
2019,Kossuth,12,427936,4679543,2248898,423522,566717,11.1
2019,Lee,17,1624505,9987312,1308646,578829,1054171,9.08
2019,Linn,91,12993565,81690866,9578841,11416944,11073503,11.7
2019,Louisa,8,470974,3700955,729835,703001,482508,11.57
2019,Lucas,7,432845,2566601,663107,4230789,530457,17.69
2019,Lyon,13,862855,4506353,3184119,580751,533196,9.93
2019,Madison,12,810185,6730248,5697562,1215494,863740,11.45
2019,Mahaska,17,928817,10378750,1812730,2163242,1321416,11.69
2019,Marion,21,1818727,13353905,4976158,1791891,1832393,12.08
2019,Marshall,22,2131496,12002906,1394083,2778166,1590770,11.25
2019,Mills,11,1003164,4906542,2002677,436226,599112,10.14
2019,Mitchell,9,555405,3486591,705208,496547,491896,12.17
2019,Monona,12,611589,4915356,1720364,1292459,724772,13.11
2019,Monroe,5,365306,3456608,171741,505597,400806,10.49
2019,Montgomery,7,511588,3414451,268693,647730,433411,11.04
2019,Muscatine,15,1635317,12395366,332705,1486218,1698319,12.1
2019,OBrien,17,759466,5274085,1501649,311687,602190,9.36
2019,Osceola,10,228919,2456360,3345516,821289,342040,12.74
2019,Other,11,565395,4005878,1036108,938232,505303,11.05
2019,Page,6,354784,5054917,1833328,808538,588498,10.88
2019,Palo Alto,12,441899,4068726,3487142,121106,471918,10.46
2019,Plymouth,18,2593711,11085217,14283421,2376011,1500323,10.97
2019,Pocahontas,5,166052,1827783,109131,97252,196588,9.86
2019,Polk,198,34972248,193531597,26874086,66792202,30927502,13.53
2019,Pottawattamie,64,10591183,48766390,14070168,53748590,13453538,22.67
2019,Poweshiek,24,2892244,13216039,3454599,23800210,5215782,32.38
2019,Ringgold,6,177212,1419494,616935,1439752,272701,17.08
2019,Sac,12,519903,4629909,1478242,1208330,624292,12.12
2019,Scott,106,8812794,99949340,4811561,50724343,18240320,16.77
2019,Shelby,11,471099,4191902,2400531,1441709,545372,11.7
2019,Sioux,21,1977379,9312467,10349032,627945,1086827,9.63
2019,Story,41,5554936,36393928,1832390,5267734,4877388,11.63
2019,Tama,18,836265,6753162,3034750,1045655,888392,11.71
2019,Union,10,491485,4672193,931579,530361,571637,11.07
2019,Wapello,25,2105566,14714800,988873,3993596,2150645,12.79
2019,Warren,28,3005102,21407775,780117,2719041,2694895,11.04
2019,Washington,14,740740,13513030,1979859,1595290,1590542,11.16
2019,Wayne,7,196707,2629168,292576,1431427,359623,12.73
2019,Webster,33,1799828,16787399,1786735,3631043,2414829,12.99
2019,Winnebago,15,534733,3884472,1927263,160618,476637,10.79
2019,Winneshiek,18,1304814,8824945,8789192,2005251,1305864,12.89
2019,Woodbury,46,9471223,38627416,11297865,24287907,7987227,16.61
2019,Worth,9,1051963,3146485,843237,1097325,532919,12.69
2019,Wright,17,715976,4779953,1188371,280088,530169,9.65
2020,Adair,11,1244749,5688645,1535290,1638904,854685,12.33
2020,Allamakee,16,948629,4927601,2090054,1033233,688357,11.71
2020,Appanoose,9,622179,4292707,2511573,486187,570132,11.6
2020,Audubon,6,216937,2069131,1954005,1099624,397181,17.37
2020,Benton,24,1304575,6379548,4298919,1763724,1145213,14.9
2020,Black Hawk,62,8078572,44631343,4273224,20270961,8206938,15.57
2020,Boone,14,982626,6984086,1795127,2547797,860053,10.8
2020,Bremer,17,2003988,8776444,1455228,1778414,1262489,11.71
2020,Buchanan,13,1153339,6247188,1375353,1038766,831841,11.24
2020,Buena Vista,24,988329,6994308,3330527,1480025,951586,11.92
2020,Butler,11,941159,4873912,1446369,845222,650808,11.19
2020,Calhoun,14,320836,3337306,440885,4434481,734451,20.08
2020,Carroll,25,1410771,8070044,11124128,637437,980060,10.34
2020,Cass,15,744675,5744374,4432374,482342,630007,9.71
2020,Cedar,14,1541478,10573151,5749327,7735486,2290924,18.91
2020,Cerro Gordo,30,4224483,22055998,6930324,13761212,4629672,17.62
2020,Cherokee,15,665847,4031730,3797438,409183,462404,9.84
2020,Chickasaw,12,1274976,5409501,5175421,3737740,977233,14.62
2020,Clarke,8,1129352,6330592,101427,8648861,1882324,25.23
2020,Clay,17,827383,5078461,1059809,722963,610848,10.34
2020,Clayton,21,1479968,6184658,2836760,1439159,986861,12.88
2020,Clinton,30,3219904,17625909,4341713,5133093,2712211,13.01
2020,Crawford,13,660554,4163210,2274638,1184451,513608,10.65
2020,Dallas,41,5441218,31105799,7538201,7651638,4631265,12.67
2020,Davis,5,211828,1629981,824133,449426,186117,10.11
2020,Decatur,5,375314,2287871,273038,461879,305095,11.46
2020,Delaware,13,1031941,5035342,1371233,1142670,742238,12.23
2020,Des Moines,17,1930128,12730245,552756,185998,1426667,9.73
2020,Dickinson,22,2180042,7759788,1286591,503387,913112,9.19
2020,Dubuque,45,8354521,45340172,7336881,17032014,5998155,11.17
2020,Emmet,7,319018,2858893,94663,493032,406305,12.79
2020,Fayette,16,731264,6401240,426933,371724,693548,9.72
2020,Floyd,13,1854639,5125293,2488370,8935895,1732272,24.82
2020,Franklin,11,457666,4444711,2935871,1063218,694054,14.16
2020,Fremont,6,341377,4556546,946065,13926447,2486487,50.77
2020,Greene,12,342558,3966820,502890,2321418,585801,13.59
2020,Grundy,13,654695,4609734,4283241,124718,489793,9.3
2020,Guthrie,11,510532,3340021,802738,6692920,1271928,33.03
2020,Hamilton,15,2044129,6139063,2804741,10952072,2323029,28.39
2020,Hancock,7,344438,2860362,169583,1409933,547229,17.08
2020,Hardin,25,1462869,10784883,6329795,2218664,1647833,13.45
2020,Harrison,11,556946,4686596,2251786,2288212,684695,13.06
2020,Henry,18,1114221,16090086,2914317,13666475,3594194,20.89
2020,Howard,12,730537,3770216,1883978,1383783,560736,12.46
2020,Humboldt,11,678865,3844555,3542200,324915,445721,9.85
2020,Ida,9,401697,2631116,1835368,31913,301551,9.94
2020,Iowa,33,2563741,11532490,7166549,1909580,1498387,10.63
2020,Jackson,17,1272388,7640509,894843,2201313,1210789,13.58
2020,Jasper,24,4005343,13248538,2046241,17756986,3747334,21.72
2020,Jefferson,14,836981,4442814,1443302,1082087,610755,11.57
2020,Johnson,52,9276449,36427857,4428953,3150452,4321347,9.46
2020,Jones,11,951875,6404713,1841954,1460877,848299,11.53
2020,Keokuk,10,516622,3962091,1535948,909341,565939,12.64
2020,Kossuth,12,576506,4651778,2695950,336693,540228,10.33
2020,Lee,19,1564524,9608748,1618211,479079,1024024,9.16
2020,Linn,91,12763911,71312015,10386785,11967596,10042449,11.94
2020,Louisa,8,445052,3189031,392665,463217,402441,11.07
2020,Lucas,7,453305,2641120,695597,1946060,423170,13.68
2020,Lyon,13,715682,4249705,3816666,583339,505129,10.17
2020,Madison,13,795786,6731336,6728104,1006711,851810,11.32
2020,Mahaska,16,1391003,9329317,1855202,1917617,1217716,11.36
2020,Marion,19,1916520,12405178,5051383,1392285,1562847,10.91
2020,Marshall,25,2759354,10944518,2078826,2415980,1481018,10.81
2020,Mills,10,688891,4688104,2531018,639866,606592,11.28
2020,Mitchell,9,617709,3510560,3002662,451217,464508,11.25
2020,Monona,10,466581,4008186,1578150,373538,514321,11.49
2020,Monroe,5,379033,3174746,42964,409359,390829,11
2020,Montgomery,8,568038,3298231,4135000,72588,375442,9.36
2020,Muscatine,16,1535071,11755881,447232,1289268,1594067,11.99
2020,OBrien,21,776960,5751864,4783053,340073,675686,10.35
2020,Osceola,8,191190,1355276,267502,660568,173622,11.23
2020,Other,8,372277,2754038,824559,775074,373250,11.94
2020,Page,7,398306,4850265,2160908,525932,630637,12.02
2020,Palo Alto,6,319758,2818420,1098535,87698,294295,9.38
2020,Plymouth,16,2280440,9162506,14674889,1360141,1181393,10.32
2020,Pocahontas,6,474384,3150460,8685122,124718,350774,9.68
2020,Polk,198,30949625,163247695,22692805,55926584,26166863,13.47
2020,Pottawattamie,52,8273232,44065836,10311108,58948417,13465944,25.73
2020,Poweshiek,24,1924623,12751269,5909079,35403680,6890264,46.95
2020,Ringgold,7,271215,1816642,706637,1489004,346010,16.57
2020,Sac,15,532437,3950784,1271086,655520,478731,10.68
2020,Scott,91,9912938,78497566,2572829,52410915,16324278,18.46
2020,Shelby,14,452203,4128510,3709285,3485909,855136,18.67
2020,Sioux,22,1916338,8325319,9592157,434824,925328,9.03
2020,Story,43,4812421,30946502,1897972,5019930,4198641,11.74
2020,Tama,19,981189,6246744,3153144,513996,740573,10.25
2020,Union,13,708233,4775881,1030814,900365,644553,11.75
2020,Van Buren,8,504816,2080285,1040247,213887,230057,8.9
2020,Wapello,24,2134399,13343632,393969,3608416,1946468,12.58
2020,Warren,30,2879005,18516658,647905,2210845,2308917,10.79
2020,Washington,17,1059560,7361218,3080915,5404818,1278648,15.18
2020,Wayne,7,243959,2060151,367789,1658919,313259,13.6
2020,Webster,30,1633290,15362406,1968055,3793012,2249745,13.24
2020,Winnebago,14,328706,3516897,1992932,378706,477992,12.43
2020,Winneshiek,17,1534310,7878708,7018509,1972882,1148533,12.2
2020,Woodbury,37,7455512,33198987,9783254,24774864,7383149,18.16
2020,Worth,9,375486,3032438,1406312,145253,413476,12.13
2020,Wright,18,711491,4481139,3095884,278176,488118,9.4
2021,Adair,11,1042806,5373991,930753,6240679,1354323,21.11
2021,Adams,,133535,1348849,241289,79046,174951,11.8
2021,Allamakee,9,870411,4755045,1523722,1240414,763166,13.57
2021,Appanoose,,393175,2929518,1523633,159406,389473,11.72
2021,Audubon,6,202273,2053504,1980763,1412213,484774,21.49
2021,Benton,18,1057333,6642405,2279597,1536825,980835,12.74
2021,Black Hawk,55,6666668,51447315,2727434,16843653,8460977,14.56
2021,Boone,8,870532,6332039,1466715,184383,659318,9.15
2021,Bremer,14,1934895,8842981,1205905,1926785,1275469,11.83
2021,Buchanan,10,1057226,5793093,1080089,860683,766858,11.19
2021,Buena Vista,22,978358,7316058,3204935,767280,975599,11.76
2021,Butler,12,1023150,4937786,1703095,616455,614027,10.3
2021,Calhoun,14,382772,4044050,545473,4287767,844805,19.08
2021,Carroll,20,1063845,7501687,5645889,700523,978031,11.42
2021,Cass,16,913747,6814227,7044564,337769,956924,12.38
2021,Cedar,11,893998,6451862,4794779,7522256,1826372,24.86
2021,Cerro Gordo,21,2826134,21557732,4962398,12030906,4344585,17.82
2021,Cherokee,13,592405,3860410,2429170,238642,456877,10.26
2021,Chickasaw,8,910423,4367331,159672,1232988,594510,11.26
2021,Clarke,8,1285092,6099606,390178,7885334,1866667,25.28
2021,Clay,14,1075400,6913686,1464278,586904,797176,9.98
